  R1   R2   R3      I1   I2   I3      A1   A2           dist.               Jij
  -3   -4   -3       7    6    7       1    1     25.72724911255100  -0.00000006649096
  -5   -4    1       5    6    1       1    1     25.72725011883660   0.00000000238274
  -5   -4   -1       5    6    9       1    1     25.72725011883660   0.00000000217310
  -4   -5    1       6    5    1       1    1     25.72725011883660   0.00000000219056
  -4   -5   -1       6    5    9       1    1     25.72725011883660   0.00000000195493
   1   -2    3       1    8    3       1    1     25.74111382744493  -0.00000035622987
   1   -2   -3       1    8    7       1    1     25.74111382744493  -0.00000035267910
   2   -1    3       2    9    3       1    1     25.74111382744493  -0.00000038925052
   2   -1   -3       2    9    7       1    1     25.74111382744493  -0.00000039352995
  -2    1    3       8    1    3       1    1     25.74111382744493  -0.00000039352995
  -2    1   -3       8    1    7       1    1     25.74111382744493  -0.00000038925052
  -1    2    3       9    2    3       1    1     25.74111382744493  -0.00000035267910
  -1    2   -3       9    2    7       1    1     25.74111382744493  -0.00000035622987
   0    2    4       0    2    4       1    1     25.87337340053174   0.00000001365689
   0    2   -4       0    2    6       1    1     25.87337340053174   0.00000001429564
   0   -2    4       0    8    4       1    1     25.87337340053174   0.00000001429564
   0   -2   -4       0    8    6       1    1     25.87337340053174   0.00000001365689
   2    0    4       2    0    4       1    1     25.87337340053174   0.00000001750004
   2    0   -4       2    0    6       1    1     25.87337340053174   0.00000001811285
  -2    0    4       8    0    4       1    1     25.87337340053174   0.00000001811285
  -2    0   -4       8    0    6       1    1     25.87337340053174   0.00000001750004
  -5   -3    1       5    7    1       1    1     25.87337527666126   0.00000001074270
  -5   -3   -1       5    7    9       1    1     25.87337527666126   0.00000001038073
  -3   -5    1       7    5    1       1    1     25.87337527666126   0.00000001093240
  -3   -5   -1       7    5    9       1    1     25.87337527666126   0.00000001054542
   2    3    4       2    3    4       1    1     26.28652712789039   0.00000013035513
   2    3   -4       2    3    6       1    1     26.28652712789039   0.00000052484613
   3    2    4       3    2    4       1    1     26.28652712789039   0.00000012187788
   3    2   -4       3    2    6       1    1     26.28652712789039   0.00000051042282
  -3   -2    4       7    8    4       1    1     26.28652712789039   0.00000051042282
  -3   -2   -4       7    8    6       1    1     26.28652712789039   0.00000012187788
  -2   -3    4       8    7    4       1    1     26.28652712789039   0.00000052484613
  -2   -3   -4       8    7    6       1    1     26.28652712789039   0.00000013035513
   1    4    2       1    4    2       1    1     26.30009848442435   0.00000000641032
   1    4   -2       1    4    8       1    1     26.30009848442435   0.00000000587316
   4    1    2       4    1    2       1    1     26.30009848442435   0.00000000758544
   4    1   -2       4    1    8       1    1     26.30009848442435   0.00000000688270
  -4   -1    2       6    9    2       1    1     26.30009848442435   0.00000000688270
  -4   -1   -2       6    9    8       1    1     26.30009848442435   0.00000000758544
  -1   -4    2       9    6    2       1    1     26.30009848442435   0.00000000587316
  -1   -4   -2       9    6    8       1    1     26.30009848442435   0.00000000641032
   2    4    3       2    4    3       1    1     26.42956116322719  -0.00000098478626
   2    4   -3       2    4    7       1    1     26.42956116322719  -0.00000091391164
   4    2    3       4    2    3       1    1     26.42956116322719  -0.00000093783352
   4    2   -3       4    2    7       1    1     26.42956116322719  -0.00000087041556
  -4   -2    3       6    8    3       1    1     26.42956116322719  -0.00000087041556
  -4   -2   -3       6    8    7       1    1     26.42956116322719  -0.00000093783352
  -2   -4    3       8    6    3       1    1     26.42956116322719  -0.00000091391164
  -2   -4   -3       8    6    7       1    1     26.42956116322719  -0.00000098478626
